country,product_desc,city,source,buyer_name,hs_code,email
HR,cosmetics,Zagreb,KOTRA_SNS,Bio Refleks doo,330510.0,
RO,cosmetics,Carei,KOTRA_SNS,SC Ardealul Trading SRL,330499.0,
GR,cosmetics,Κατερνα Παπαγιαννη,KOTRA_SNS,Κατερνα Παπαγιαννη,330499.0,
HU,cosmetics and makeup,Szeged,KOTRA_SNS,Eva_MUA,330420.0,
FI,cosmetics,Helsinki,KOTRA_SNS,DziStar Digitals,330499.0,
PH,"make up, lipstick, beauty products",Manila,KOTRA_SNS,EDO Japanese Restaurant,330499.0,
JP,Lipstick,Gifu,KOTRA_SNS,self employed,330410.0,
JP,skin care and cosmetic,chiba city,KOTRA_SNS,wex,330499.0,
JP,Cosmetics,oyama tochigi,KOTRA_SNS,Intentando crear contenido,330499.0,
PH,"make up, accessories, dress, car spare parts",antipolo,KOTRA_SNS,hair power 88 salon,330499.0,
PH,cosmetics,san Rafael,KOTRA_SNS,Oishi Chicken Wings,330499.0,
PH,cosmetics,Cabanatuan City,KOTRA_SNS,Healthshed optical group,330499.0,
PH,beauty products/make up,meycauayan city,KOTRA_SNS,DIVA's hairstraightening salon,330499.0,
PH,Cosmetcis,Cotabato,KOTRA_SNS,none,330499.0,
PH,makeup shampoo conditioner lotion facial care,Dasmarias,KOTRA_SNS,PDN,330410.0,
MY,skin care,Kuching,KOTRA_SNS,Syarikat Pesona Mas,330499.0,
PH,Color cosmetic,Quezon City,KOTRA_SNS,Beautihub Cosmetic Manufacturing Inc,330499.0,
AE,cosmetics,Makati,KOTRA_SNS,K.A. TRAVEL LEISURE TOURISM SERVICES,330499.0,
PH,cosmetics,Manila,KOTRA_SNS,Arls Olshoppe,330499.0,
ZA,beauty products,Cape Town,KOTRA_SNS,MPC,330610.0,
GH,Cosmetics,Accra,KOTRA_SNS,Oripee Elegance,330499.0,
KE,Cosmetic,Nairobi,KOTRA_SNS,...,330499.0,
ZA,Cosmetics and facial products,Pretoria,KOTRA_SNS,Nyeleti Consulting,330499.0,
US,beauty,Nairobi Kenya,KOTRA_SNS,DXN,330499.0,
NG,Skincare and cosmetics,Abuja,KOTRA_SNS,Touch of Michelles,330499.0,
ZA,Cosmetics,Midrand,KOTRA_SNS,Zee Parfum,330499.0,
NG,COSMETICS,LAGOS,KOTRA_SNS,JUDGEKENS GLOBAL,330499.0,
NG,Cosmetics and skincare,Abuja,KOTRA_SNS,De Chenshi New Media Consultant,330499.0,
KE,Beauty cosmetics,Nairobi,KOTRA_SNS,Kavis store,330499.0,
ZA,Cosmetics and jewelry,Johannesburg,KOTRA_SNS,The Branding Hub,330499.0,
NG,Skin care products,Lagos,KOTRA_SNS,fashion concept,330499.0,
